,Year,Month,PE,Value,m_earnings,prev_m,EPS_growth,DATE,GS10,final_EPS_growth
109,2010,9,16.84485814,118.5833333,7.039734756,7.070430822,-0.05087148,30/09/2010,0.0254,-0.07627148
110,2010,10,17.391043,121.5761905,6.990736006,7.039734756,-0.080399347,31/10/2010,0.0276,-0.107999347
111,2010,11,17.66441695,122.0890476,6.911580945,6.990736006,-0.127723926,30/11/2010,0.0329,-0.160623926
112,2010,12,18.32715509,125.8695455,6.867926027,6.911580945,-0.073216011,31/12/2010,0.0339,-0.107116011
113,2011,1,19.3727053,126.3555,6.522346675,6.867926027,-0.461805522,31/01/2011,0.0358,-0.497605522
114,2011,2,23.21423574,126.0789474,5.43110481,6.522346675,-0.888875028,28/02/2011,0.0341,-0.922975028
115,2011,3,22.90849291,126.2878261,5.512707735,5.43110481,0.195973103,31/03/2011,0.0346,0.161373103
116,2011,4,23.47364395,132.2345,5.633317958,5.512707735,0.296556823,30/04/2011,0.0317,0.264856823
117,2011,5,24.2316121,134.9128571,5.56763853,5.633317958,-0.13127723,31/05/2011,0.03,-0.16127723
118,2011,6,23.59183527,131.2140909,5.561843298,5.56763853,-0.012419275,30/06/2011,0.03,-0.042419275
119,2011,7,23.12213325,131.4525,5.685137205,5.561843298,0.300967419,31/07/2011,0.023,0.277967419
120,2011,8,23.419361,121.9873913,5.208826633,5.685137205,-0.650064961,31/08/2011,0.0198,-0.669864961
121,2011,9,23.44509019,121.6442857,5.188475912,5.208826633,-0.045889175,30/09/2011,0.0215,-0.067389175
122,2011,10,22.14037157,122.8766667,5.549891802,5.188475912,1.243554059,31/10/2011,0.0201,1.223454059
123,2011,11,19.07580838,123.1480952,6.45572092,5.549891802,5.136528779,30/11/2011,0.0198,5
124,2011,12,19.55624667,126.1019048,6.448164973,6.45572092,-0.013955057,31/12/2011,0.0197,-0.033655057
125,2012,1,25.360833,127.2955,5.019373772,6.448164973,-0.950505065,31/01/2012,0.0197,-0.970205065
126,2012,2,46.41541515,127.598,2.749043601,5.019373772,-0.999271575,29/02/2012,0.0217,-1.020971575
127,2012,3,38.122993,131.925,3.460510039,2.749043601,14.83076224,31/03/2012,0.0205,5
128,2012,4,37.81748985,130.29,3.445231307,3.460510039,-0.051714175,30/04/2012,0.018,-0.069714175
129,2012,5,39.80975,137.2077273,3.446586007,3.445231307,0.004728737,31/05/2012,0.0162,-0.011471263
130,2012,6,41.74219214,143.1661905,3.429771728,3.446586007,-0.05699684,30/06/2012,0.0153,-0.07229684
131,2012,7,42.80402357,148.7,3.473972482,3.429771728,0.166094897,31/07/2012,0.0168,0.149294897
132,2012,8,42.64775365,152.9,3.585182968,3.473972482,0.459551443,31/08/2012,0.0172,0.442351443
